                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.5134,                 1.2937,                 1.6216,                0.56934,                0.56107,                0.59776,                0.29423,                  1.801,                 1.5162,                 1.9285,               0.008119,               0.008119,               0.008119
                     59,                 1.5028,                 1.2971,                 1.6176,                0.62519,                0.50121,                0.56045,                0.28033,                 1.8134,                 1.6394,                 1.9627,               0.008086,               0.008086,               0.008086
                     60,                 1.5064,                 1.3007,                 1.6231,                0.55652,                0.56864,                0.59532,                0.28696,                  1.804,                 1.5137,                  1.949,               0.008053,               0.008053,               0.008053
                     61,                 1.5022,                 1.2899,                  1.622,                0.64776,                 0.6214,                0.66471,                0.33584,                  1.701,                  1.422,                 1.9275,                0.00802,                0.00802,                0.00802
                     62,                 1.4958,                 1.2959,                 1.6187,                0.56746,                0.61966,                0.65033,                0.31651,                 1.6913,                 1.4214,                 1.8749,               0.007987,               0.007987,               0.007987
                     63,                 1.5133,                 1.2824,                 1.6026,                0.60626,                0.58423,                0.60534,                0.29106,                 1.7549,                 1.4919,                 1.9237,               0.007954,               0.007954,               0.007954
                     64,                  1.521,                 1.3189,                 1.6327,                 0.5896,                0.62993,                 0.6392,                0.32619,                 1.6915,                 1.4616,                  1.884,               0.007921,               0.007921,               0.007921
                     65,                 1.5214,                 1.3071,                 1.6274,                0.62085,                0.60922,                0.64249,                 0.3304,                 1.7239,                  1.431,                 1.9254,               0.007888,               0.007888,               0.007888
                     66,                 1.4844,                 1.2981,                 1.6137,                0.52255,                0.51983,                0.55322,                0.27096,                 1.8128,                 1.6129,                 1.9615,               0.007855,               0.007855,               0.007855
                     67,                 1.4966,                 1.2681,                 1.6043,                0.59098,                0.56246,                0.64942,                0.32175,                 1.6735,                 1.4513,                 1.8866,               0.007822,               0.007822,               0.007822
                     68,                 1.4902,                 1.2752,                  1.598,                0.62222,                0.61485,                0.64247,                0.32325,                 1.6899,                  1.412,                  1.891,               0.007789,               0.007789,               0.007789
                     69,                 1.4913,                 1.2616,                    1.6,                0.56623,                0.54041,                0.57452,                0.27276,                 1.8507,                 1.6074,                 2.0657,               0.007756,               0.007756,               0.007756
                     70,                 1.5008,                 1.2704,                 1.6042,                0.56003,                0.60913,                 0.6398,                0.31184,                 1.7351,                 1.4544,                  1.953,               0.007723,               0.007723,               0.007723
                     71,                 1.4831,                 1.2761,                 1.6006,                0.59406,                0.65424,                0.67048,                 0.3362,                 1.6432,                  1.391,                 1.8398,                0.00769,                0.00769,                0.00769
                     72,                 1.4709,                 1.2622,                 1.6081,                0.63105,                0.65578,                0.68509,                 0.3466,                 1.6267,                 1.3947,                 1.8546,               0.007657,               0.007657,               0.007657
                     73,                 1.4928,                 1.2638,                 1.6028,                0.54391,                0.63438,                0.63972,                0.32066,                 1.6863,                 1.4631,                 1.8813,               0.007624,               0.007624,               0.007624
                     74,                 1.4796,                 1.2715,                 1.6044,                0.58021,                0.48349,                0.49179,                0.22711,                 1.8477,                 1.7388,                 2.0154,               0.007591,               0.007591,               0.007591
                     75,                 1.4581,                 1.2358,                 1.5747,                 0.6013,                0.62286,                 0.6486,                0.33894,                 1.6665,                 1.3726,                 1.8647,               0.007558,               0.007558,               0.007558
                     76,                 1.4711,                 1.2326,                 1.5757,                 0.6664,                0.55778,                0.56578,                0.27911,                 1.8492,                 1.5331,                  1.986,               0.007525,               0.007525,               0.007525
                     77,                  1.454,                 1.2178,                 1.5815,                0.61191,                0.55473,                0.59029,                0.29625,                 1.8051,                 1.4924,                 1.9444,               0.007492,               0.007492,               0.007492
                     78,                  1.469,                 1.2511,                 1.5892,                0.59536,                0.63776,                0.64798,                0.32011,                 1.7164,                 1.4147,                 1.8816,               0.007459,               0.007459,               0.007459
                     79,                 1.4594,                 1.2405,                  1.588,                0.61641,                0.62129,                0.65711,                0.33702,                 1.6607,                 1.4011,                 1.8763,               0.007426,               0.007426,               0.007426
                     80,                 1.4648,                 1.2459,                 1.5858,                 0.6576,                0.52451,                0.60098,                0.30193,                  1.783,                   1.45,                 1.9585,               0.007393,               0.007393,               0.007393
