                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.5282,                 1.3568,                 1.6061,                0.75682,                0.56711,                0.64234,                0.32264,                 1.6719,                 1.4843,                 1.7873,                0.00802,                0.00802,                0.00802
                     62,                 1.5317,                 1.3557,                 1.6149,                0.73702,                0.44426,                 0.4954,                 0.2432,                 1.8498,                 1.7997,                  1.954,               0.007987,               0.007987,               0.007987
                     63,                 1.5149,                 1.3437,                 1.6007,                0.66236,                0.60378,                0.67752,                0.35204,                 1.5996,                 1.4185,                 1.7981,               0.007954,               0.007954,               0.007954
                     64,                 1.5155,                  1.346,                 1.6071,                0.36885,                0.31802,                0.31736,                0.12618,                 2.4738,                 2.4493,                 2.4817,               0.007921,               0.007921,               0.007921
                     65,                  1.507,                 1.3139,                   1.59,                 0.6519,                0.61214,                0.68624,                0.36058,                 1.6331,                 1.4141,                 1.7607,               0.007888,               0.007888,               0.007888
                     66,                  1.501,                 1.3229,                 1.5858,                0.69793,                0.53187,                 0.5878,                0.29088,                 1.7926,                 1.5507,                  1.909,               0.007855,               0.007855,               0.007855
                     67,                 1.5141,                 1.3361,                 1.5904,                0.64536,                0.64095,                0.68984,                 0.3644,                 1.5814,                 1.3935,                 1.7407,               0.007822,               0.007822,               0.007822
                     68,                 1.4887,                 1.3245,                  1.579,                0.72566,                0.59594,                0.68982,                0.36338,                 1.6309,                 1.3642,                 1.7792,               0.007789,               0.007789,               0.007789
                     69,                  1.503,                 1.3251,                  1.611,                0.63297,                0.60222,                0.66568,                0.33694,                 1.6782,                 1.4209,                 1.8303,               0.007756,               0.007756,               0.007756
                     70,                 1.5082,                 1.3215,                 1.5945,                0.68987,                0.60497,                0.66371,                0.34072,                  1.649,                  1.401,                 1.7991,               0.007723,               0.007723,               0.007723
                     71,                 1.5129,                 1.3146,                 1.5963,                0.56402,                0.61137,                0.65226,                0.32748,                 1.7069,                 1.4122,                 1.8054,                0.00769,                0.00769,                0.00769
                     72,                 1.5042,                 1.3154,                 1.5958,                0.57449,                0.64196,                0.65991,                0.33449,                 1.6705,                 1.4484,                 1.7812,               0.007657,               0.007657,               0.007657
                     73,                 1.4889,                 1.2996,                 1.5824,                 0.6384,                0.55166,                0.64379,                0.32265,                 1.7175,                 1.4759,                 1.8432,               0.007624,               0.007624,               0.007624
                     74,                 1.4914,                   1.31,                 1.5903,                0.63723,                0.63781,                0.69955,                0.35719,                 1.5783,                 1.3812,                 1.7412,               0.007591,               0.007591,               0.007591
                     75,                 1.5045,                 1.3011,                 1.5853,                0.63716,                0.62338,                0.66802,                0.34014,                 1.6376,                 1.3926,                 1.8164,               0.007558,               0.007558,               0.007558
                     76,                  1.503,                 1.3319,                 1.5924,                0.62654,                0.54362,                0.61045,                0.31724,                 1.6447,                 1.5088,                 1.8263,               0.007525,               0.007525,               0.007525
                     77,                 1.4785,                 1.2797,                 1.5639,                0.66948,                0.58547,                0.67484,                0.34351,                 1.6104,                 1.4239,                 1.7891,               0.007492,               0.007492,               0.007492
                     78,                 1.4894,                 1.2979,                 1.5744,                0.66328,                0.60974,                0.67355,                0.33799,                 1.6647,                 1.4175,                  1.793,               0.007459,               0.007459,               0.007459
                     79,                 1.4793,                  1.272,                 1.5683,                0.70786,                0.59413,                0.66106,                0.33496,                 1.6771,                 1.4586,                 1.7938,               0.007426,               0.007426,               0.007426
                     80,                 1.4924,                 1.2767,                 1.5747,                0.55409,                0.59419,                0.60889,                0.30034,                 1.6947,                 1.4944,                 1.8168,               0.007393,               0.007393,               0.007393
                     81,                 1.4765,                 1.2782,                 1.5784,                0.63532,                0.62477,                 0.6693,                0.33832,                   1.61,                 1.3821,                 1.7679,                0.00736,                0.00736,                0.00736
                     82,                 1.4796,                 1.2758,                 1.5702,                0.78631,                0.61008,                0.71317,                0.36655,                 1.5941,                 1.3417,                 1.7657,               0.007327,               0.007327,               0.007327
                     83,                 1.4895,                   1.27,                 1.5634,                0.52883,                 0.5985,                0.58179,                0.28597,                 1.7593,                  1.659,                 1.9534,               0.007294,               0.007294,               0.007294
                     84,                 1.4794,                 1.2971,                 1.5671,                0.58328,                0.62282,                0.65359,                0.33896,                 1.6027,                 1.4439,                 1.7495,               0.007261,               0.007261,               0.007261
                     85,                 1.4808,                 1.2656,                 1.5651,                0.63985,                0.57785,                  0.632,                0.32345,                 1.6581,                 1.4693,                 1.8055,               0.007228,               0.007228,               0.007228
                     86,                  1.484,                 1.2867,                 1.5724,                 0.7106,                0.60652,                0.69291,                0.35035,                  1.639,                 1.3862,                 1.7962,               0.007195,               0.007195,               0.007195
                     87,                 1.4847,                  1.289,                 1.5725,                0.58622,                0.64269,                0.67517,                0.35616,                 1.6006,                 1.3561,                 1.7348,               0.007162,               0.007162,               0.007162
                     88,                  1.458,                 1.3023,                 1.5663,                 0.6416,                0.59914,                0.67644,                0.34837,                 1.5982,                 1.3675,                 1.7831,               0.007129,               0.007129,               0.007129
                     89,                 1.4772,                 1.2638,                 1.5667,                0.67261,                0.59225,                 0.6706,                0.34833,                 1.6026,                 1.3815,                  1.764,               0.007096,               0.007096,               0.007096
                     90,                 1.4664,                 1.2646,                 1.5514,                0.63524,                0.48862,                0.56365,                0.27485,                  1.705,                  1.706,                 1.8564,               0.007063,               0.007063,               0.007063
                     91,                 1.4492,                 1.2636,                 1.5596,                0.69497,                0.67192,                0.71184,                0.37488,                 1.5704,                 1.3536,                 1.7167,                0.00703,                0.00703,                0.00703
                     92,                 1.4805,                 1.2727,                 1.5673,                0.61208,                 0.6202,                0.65484,                0.32821,                  1.715,                 1.4437,                 1.8321,               0.006997,               0.006997,               0.006997
                     93,                 1.4689,                 1.2683,                 1.5663,                0.68366,                0.65049,                0.69759,                 0.3656,                 1.5824,                 1.3134,                 1.7394,               0.006964,               0.006964,               0.006964
                     94,                 1.4653,                 1.2617,                 1.5611,                0.62844,                0.65977,                0.68914,                 0.3625,                 1.5802,                 1.3581,                  1.716,               0.006931,               0.006931,               0.006931
                     95,                 1.4489,                 1.2501,                 1.5616,                0.58912,                0.67495,                0.69024,                0.36298,                 1.5922,                 1.3313,                 1.7351,               0.006898,               0.006898,               0.006898
                     96,                 1.4761,                 1.2788,                 1.5735,                0.59523,                0.64718,                0.68382,                0.34907,                 1.6295,                 1.3738,                 1.7937,               0.006865,               0.006865,               0.006865
                     97,                 1.4528,                  1.262,                 1.5559,                 0.7297,                0.65734,                0.73304,                   0.38,                 1.6018,                 1.3206,                 1.7389,               0.006832,               0.006832,               0.006832
                     98,                 1.4584,                 1.2539,                 1.5515,                0.67382,                0.62146,                0.68205,                0.35642,                 1.6322,                 1.3929,                  1.793,               0.006799,               0.006799,               0.006799
                     99,                 1.4393,                 1.2391,                 1.5468,                 0.6542,                0.53707,                0.56697,                0.27966,                 1.7936,                 1.6321,                  1.878,               0.006766,               0.006766,               0.006766
                    100,                 1.4571,                 1.2622,                 1.5572,                0.60841,                0.61836,                0.64228,                0.31264,                 1.7155,                 1.4212,                 1.8457,               0.006733,               0.006733,               0.006733
                    101,                 1.4479,                 1.2406,                 1.5511,                0.64996,                0.63407,                0.68992,                0.36246,                 1.6244,                 1.3646,                 1.7726,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.4596,                 1.2452,                 1.5534,                0.65247,                0.63867,                0.69677,                0.35636,                 1.6014,                 1.3661,                   1.75,               0.006667,               0.006667,               0.006667
                    103,                 1.4607,                 1.2382,                 1.5456,                0.64625,                0.58557,                0.66167,                0.34383,                 1.6424,                 1.3767,                 1.7817,               0.006634,               0.006634,               0.006634
                    104,                 1.4315,                 1.2091,                 1.5246,                0.62331,                0.58352,                0.65739,                0.33886,                 1.6535,                 1.3979,                 1.8119,               0.006601,               0.006601,               0.006601
                    105,                  1.436,                 1.2318,                 1.5435,                0.69058,                0.64976,                0.72256,                 0.3804,                 1.5589,                 1.3021,                 1.7267,               0.006568,               0.006568,               0.006568
                    106,                 1.4251,                 1.2119,                 1.5425,                0.64931,                0.63398,                0.68775,                0.35244,                 1.6429,                 1.3684,                 1.7848,               0.006535,               0.006535,               0.006535
                    107,                 1.4373,                  1.238,                 1.5348,                0.67526,                0.64011,                0.72456,                0.38935,                 1.5637,                 1.2927,                 1.7151,               0.006502,               0.006502,               0.006502
                    108,                 1.4507,                  1.216,                 1.5351,                 0.6726,                0.63697,                0.69387,                0.38404,                 1.5712,                 1.3182,                 1.7333,               0.006469,               0.006469,               0.006469
                    109,                 1.4221,                 1.2047,                 1.5273,                0.60036,                0.65451,                0.68591,                0.36097,                 1.5684,                 1.3617,                 1.7422,               0.006436,               0.006436,               0.006436
                    110,                 1.4138,                 1.2223,                 1.5293,                0.70747,                0.61653,                0.71289,                0.38357,                 1.5774,                 1.3116,                 1.7259,               0.006403,               0.006403,               0.006403
                    111,                 1.4267,                 1.2175,                 1.5221,                0.63012,                  0.667,                0.70871,                0.37187,                 1.5841,                   1.31,                 1.7407,                0.00637,                0.00637,                0.00637
                    112,                  1.448,                 1.2182,                 1.5382,                0.70096,                0.63129,                0.70284,                0.37408,                 1.5576,                 1.3067,                  1.711,               0.006337,               0.006337,               0.006337
                    113,                  1.402,                 1.2107,                 1.5285,                0.64679,                 0.6365,                0.67884,                0.35883,                 1.5777,                 1.3341,                 1.7635,               0.006304,               0.006304,               0.006304
                    114,                 1.4283,                 1.2121,                  1.541,                0.69319,                0.64703,                0.72293,                0.37996,                 1.5672,                 1.2897,                 1.7325,               0.006271,               0.006271,               0.006271
                    115,                 1.4299,                 1.2172,                 1.5338,                0.63792,                0.65333,                0.69823,                0.36594,                 1.5933,                 1.3526,                 1.7523,               0.006238,               0.006238,               0.006238
                    116,                 1.4149,                 1.2039,                 1.5198,                0.64972,                0.60869,                0.67525,                0.35634,                 1.6169,                   1.35,                 1.7419,               0.006205,               0.006205,               0.006205
                    117,                 1.4221,                 1.2056,                 1.5289,                 0.6898,                0.63138,                0.70831,                 0.3691,                 1.5909,                 1.3242,                 1.7395,               0.006172,               0.006172,               0.006172
                    118,                 1.4108,                 1.2078,                 1.5306,                0.71459,                0.60614,                 0.7047,                0.38087,                 1.5604,                 1.3324,                 1.7507,               0.006139,               0.006139,               0.006139
                    119,                 1.4149,                 1.2053,                 1.5286,                0.68932,                0.60959,                0.70223,                0.37881,                 1.5774,                 1.2997,                 1.7378,               0.006106,               0.006106,               0.006106
                    120,                 1.4364,                 1.2053,                 1.5377,                0.66053,                0.64478,                0.69421,                0.37219,                 1.5817,                 1.3162,                 1.7562,               0.006073,               0.006073,               0.006073
                    121,                 1.4034,                 1.1862,                 1.5164,                0.67944,                0.66141,                0.70354,                0.36266,                 1.5848,                 1.3351,                 1.7309,                0.00604,                0.00604,                0.00604
                    122,                  1.409,                 1.2023,                 1.5309,                0.63303,                0.68962,                0.71703,                 0.3859,                 1.5623,                 1.2917,                 1.7259,               0.006007,               0.006007,               0.006007
                    123,                 1.4052,                 1.1826,                 1.5212,                0.73522,                0.63897,                0.72035,                0.38176,                 1.5932,                 1.2848,                 1.7488,               0.005974,               0.005974,               0.005974
                    124,                 1.4123,                 1.1887,                 1.5222,                0.65847,                0.66023,                0.69009,                0.35647,                 1.6306,                 1.3491,                 1.7825,               0.005941,               0.005941,               0.005941
                    125,                 1.4246,                 1.1965,                 1.5306,                0.69192,                0.63181,                0.70953,                0.36736,                 1.5818,                 1.3419,                 1.7316,               0.005908,               0.005908,               0.005908
                    126,                 1.4007,                 1.1876,                 1.5276,                0.65563,                0.68877,                0.73059,                0.38635,                 1.5666,                 1.2884,                 1.7166,               0.005875,               0.005875,               0.005875
